airline,add_carryOn,max_carryOn,add_checkedIn_1st,add_checkedIn_2nd,max_checkedIn,hasWifi,wifi_cost,premium_meal_cost,travel_insurance_cost,carry_on_size_limit,checked_bag_weight_limit_lbs,notes
Delta,0,1,45,55,10,true,0,15,25,"22x14x9 in",50,"Carry-on free for all incl. Basic Economy. Wi-Fi free via Delta Sync with SkyMiles; $5/flight without membership (treated as free for members). Checked bag fees as of Apr 8 2026. Max 10 bags on mainline; 4 on regional jets."
Alaska Airlines,0,1,35,45,10,true,8,12,20,"22x14x9 in",50,"Carry-on free for all fare types. Wi-Fi $8/flight flat fee. Starlink free rollout planned for Atmos Rewards members. Airport fee is $40 for 1st bag if not prepaid. $150 for 3rd+ bag."
American Airlines,0,1,50,60,10,true,10,15,22,"22x14x9 in",50,"Carry-on free for all fares. Wi-Fi ~$10/flight. $49.95/month subscription available. Fees as of Apr 9 2026. $45/$55 if prepaid online. $150 for 3rd+ bag."
United Airlines,0,1,45,55,10,true,0,15,22,"22x14x9 in",50,"Carry-on free for most fares. Wi-Fi free via Starlink for MileagePlus members (rolling out 2025–26). $50/$60 if paid at airport. $200 for 3rd bag."
Southern Airways Express,0,1,35,45,2,false,0,0,0,"9x18x24 in (soft-sided only)",50,"Very small regional turboprop. Total checked weight cannot exceed 150 lbs per booking. Bags must be soft-sided. No meals, no Wi-Fi."
JetBlue Airways,0,1,39,50,10,true,0,12,20,"22x14x9 in",50,"Carry-on free. Wi-Fi free (Fly-Fi via Viasat) for all passengers, no membership required. Off-peak 1st bag $39; peak season adds $5–$9. +$10 if added within 24 hrs."
Frontier Airlines,75,1,55,75,10,false,0,0,0,"24x16x10 in",40,"Ultra-low-cost. Carry-on charged for Basic fare (~$75 avg). Weight limit 40 lbs (stricter than most). Checked bag fees vary by route and timing ($35–$75). No Wi-Fi, no free meals."
Cape Air,0,1,50,75,2,false,0,0,0,"12x6x8 in on Tecnam only",50,"9-seat aircraft. No overhead bins on most planes — carry-ons stored planeside. Only 1 standard checked bag; up to 2 additional space-available. Exact fees vary by route — contact airline."
Key Lime Air,0,1,50,75,1,false,0,0,0,"Small personal items only",50,"Very small regional carrier. Strict weight limits. No food or Wi-Fi. Fees vary by route — contact airline directly."
Contour Airlines,0,1,35,45,2,false,0,0,0,"Small carry-on; varies by aircraft",50,"Regional CRJ-200 jets. Limited overhead space. No food or Wi-Fi on most routes."
Boutique Air,0,1,50,75,1,false,0,0,0,"Small personal items only",25,"Very small aircraft (Pilatus PC-12). Total baggage often capped at 25 lbs. No food or Wi-Fi. Fees vary by route — contact airline."
Sun Country Airlines,35,1,35,45,10,false,0,0,15,"24x16x11 in",50,"Budget leisure carrier. Carry-on charged ($25–$40 at booking; $50 at airport — using $35 avg). 1st checked $30–$40 at booking. 2nd bag $45. No Wi-Fi."
Silver Airways,0,1,30,40,10,false,0,0,0,"22x14x9 in (gate-checked planeside)",50,"Turboprop (ATR 42/72). Carry-on is free but gate-checked and returned planeside. 1st bag: $30 domestic; 2nd: $40 domestic. No food or Wi-Fi."
Hawaiian Airlines,0,1,45,55,10,true,0,15,22,"22x14x9 in",50,"Carry-on free. Wi-Fi free via Starlink on A330 and A321neo. 1st bag $45 (North America); 2nd $55. Inter-island: $30/$40."
